index,raw_len
0,60
1,60
2,60
3,60
4,60
5,60
6,60
7,60
8,457
9,457
10,458
11,458
12,458
13,458
14,458
15,457
16,458
17,458
18,458
19,60
20,60
21,60
22,60
23,60
24,60
25,60
26,60
27,60
28,458
29,458
30,458
31,457
32,458
33,458
34,60
35,60
36,60
37,60
38,60
39,60
40,60
41,60
42,60
43,60
44,60
45,60
46,60
47,60
48,60
49,60
50,60
51,60
52,458
53,60
54,60
55,60
56,60
57,60
58,60
59,60
60,60
61,60
62,60
63,60
64,60
65,70
66,70
67,70
68,70
69,70
70,70
71,70
72,70
73,70
74,60
75,70
76,70
77,70
78,70
79,70
80,70
81,70
82,70
83,70
84,60
85,60
86,60
87,60
88,60
89,60
90,60
91,60
92,60
93,60
94,60
95,110
96,110
97,104
98,104
99,123
100,123
101,123
102,123
103,173
104,173
105,173
106,173
107,74
108,74
109,74
110,74
111,90
112,90
113,90
114,90
115,175
116,175
117,216
118,216
119,177
120,177
121,177
122,177
123,66
124,66
125,66
126,66
127,60
128,60
129,214
130,214
131,162
132,162
133,222
134,222
135,322
136,322
137,66
138,66
139,66
140,66
141,60
142,60
143,214
144,214
145,162
146,162
147,204
148,204
149,90
150,90
151,266
152,266
153,98
154,98
155,187
156,187
157,130
158,130
159,302
160,302
161,174
162,174
163,66
164,66
165,66
166,66
167,60
168,60
169,213
170,213
171,306
172,306
173,162
174,162
175,306
176,306
177,66
178,66
179,66
180,66
181,60
182,60
183,287
184,287
185,261
186,261
187,60
188,60
189,60
190,60
191,60
192,60
193,66
194,66
195,66
196,66
197,60
198,60
199,367
200,367
201,1586
202,1586
203,60
204,60
205,60
206,60
207,60
208,60
209,60
210,60
211,66
212,66
213,66
214,66
215,60
216,60
217,1606
218,1606
219,60
220,60
221,1572
222,1572
223,60
224,60
225,60
226,60
227,60
228,60
229,60
230,60
231,66
232,66
233,66
234,66
235,60
236,60
237,1451
238,1451
239,1464
240,1464
241,60
242,60
243,60
244,60
245,60
246,60
247,1514
248,3126
249,1666
250,60
251,60
252,314
253,314
254,172
255,172
256,138
257,138
258,182
259,182
260,260
261,260
262,60
263,60
264,60
265,60
266,60
267,60
268,60
269,60
270,60
271,60
272,113
273,113
274,163
275,163
276,175
277,175
278,177
279,177
280,60
281,60
282,66
283,66
284,66
285,66
286,60
287,60
288,398
289,398
290,1514
291,2566
292,1228
293,60
294,60
295,60
296,60
297,66
298,66
299,66
300,66
301,60
302,60
303,1619
304,1619
305,60
306,60
307,1578
308,1578
309,60
310,60
311,60
312,60
313,60
314,60
315,60
316,60
317,1720
318,1720
319,60
320,60
321,257
322,257
323,97
324,97
325,60
326,60
327,60
328,60
329,60
330,60
331,60
332,60
333,990
334,990
335,1006
336,1006
337,60
338,60
339,110
340,110
341,104
342,104
343,95
344,152
345,104
346,104
347,104
348,104
349,104
350,104
351,104
352,104
353,104
354,84
355,84
356,84
357,84
358,84
359,84
360,84
361,84
362,84
363,104
364,104
365,104
366,104
367,104
368,104
369,104
370,104
371,104
372,84
373,84
374,84
375,84
376,84
377,84
378,84
379,84
380,84
381,60
382,60
383,60
384,60
385,60
386,60
387,60
388,60
389,60
390,60
391,458
392,152
393,152
394,152
395,152
396,152
397,152
398,152
399,152
400,152
401,152
402,152
403,152
404,152
405,152
406,152
407,152
408,152
409,152
410,132
411,132
412,132
413,132
414,132
415,132
416,132
417,132
418,132
419,132
420,132
421,132
422,132
423,132
424,132
425,132
426,132
427,132
428,152
429,92
430,152
431,152
432,152
433,152
434,152
435,152
436,152
437,152
438,132
439,152
440,152
441,152
442,152
443,152
444,152
445,152
446,152
447,152
448,132
449,132
450,132
451,132
452,132
453,132
454,132
455,132
456,132
457,105
458,132
459,132
460,132
461,132
462,132
463,132
464,132
465,132
466,105
467,105
468,105
469,105
470,105
471,105
472,105
473,105
474,85
475,85
476,85
477,85
478,85
479,85
480,85
481,85
482,85
483,70
484,152
485,105
486,152
487,152
488,152
489,152
490,152
491,152
492,152
493,152
494,105
495,132
496,105
497,105
498,105
499,105
500,105
501,105
502,105
503,152
504,152
505,152
506,152
507,152
508,152
509,152
510,152
511,152
512,152
513,152
514,152
515,152
516,152
517,152
518,132
519,132
520,152
521,132
522,152
523,132
524,132
525,152
526,132
527,132
528,152
529,132
530,85
531,152
532,132
533,85
534,152
535,85
536,85
537,152
538,85
539,85
540,152
541,85
542,85
543,152
544,85
545,132
546,132
547,152
548,132
549,132
550,152
551,132
552,132
553,152
554,132
555,132
556,132
557,132
558,132
559,132
560,132
561,132
562,132
563,132
564,132
565,132
566,132
567,132
568,132
569,132
570,132
571,132
572,132
573,132
574,458
575,92
576,70
577,458
578,60
579,60
580,458
581,92
582,70
583,82
584,82
585,148
586,148
587,145
588,145
589,145
590,145
591,85
592,85
593,162
594,162
595,168
596,168
597,168
598,168
599,457
600,458
601,458
602,66
603,66
604,66
605,66
606,60
607,60
608,274
609,274
610,232
611,232
612,60
613,60
614,60
615,60
616,60
617,60
618,457
619,66
620,66
621,66
622,66
623,60
624,60
625,354
626,354
627,1525
628,1525
629,60
630,60
631,60
632,60
633,60
634,60
635,60
636,60
637,66
638,66
639,66
640,66
641,60
642,60
643,1419
644,1419
645,1444
646,1444
647,60
648,60
649,60
650,60
651,60
652,60
653,458
654,458
655,457
656,457
657,458
658,458
659,457
660,126
661,126
662,126
663,126
664,126
665,126
666,126
667,126
668,60
669,60
670,60
671,60
672,458
673,457
674,458
675,457
676,458
677,458
678,457
679,458
680,457
681,458
682,457
683,457
684,458
685,457
686,78
687,78
688,110
689,110
690,104
691,104
692,458
693,76
694,76
695,110
696,110
697,104
698,104
699,243
700,243
701,243
702,243
703,243
704,243
705,243
706,243
707,243
708,243
709,223
710,223
711,223
712,223
713,223
714,223
715,223
716,223
717,223
718,223
719,243
720,243
721,243
722,243
723,243
724,243
725,243
726,243
727,243
728,243
729,90
730,90
731,90
732,90
733,78
734,78
735,76
736,76
737,457
738,223
739,223
740,223
741,223
742,223
743,223
744,223
745,223
746,223
747,90
748,90
749,90
750,90
751,78
752,78
753,76
754,76
755,139
756,139
757,137
758,137
759,139
760,139
761,137
762,137
763,167
764,167
765,66
766,66
767,66
768,66
769,66
770,66
771,66
772,66
773,66
774,107
775,107
776,107
777,107
778,107
779,107
780,107
781,107
782,107
783,87
784,87
785,87
786,87
787,87
788,87
789,87
790,87
791,87
792,60
793,60
794,60
795,60
